SYSTEM,RANK,FAMILY,NAME,SPECIES,RIS_BINOMIAL,AUTHORITY,FOREWING_LB,FOREWING_UB,EXCLUDE_FROM_FINAL
37,Species,Hepialidae,Triodia sylvina,Triodia sylvina,Hepialus sylvina,"(Linnaeus, 1761)",12,26,N
40,Species,Hepialidae,Korscheltellus lupulina,Korscheltellus lupulina,Hepialus lupulinus,"(Linnaeus, 1758)",11,20,N
42,Species,Hepialidae,Korscheltellus fusconebulosa,Korscheltellus fusconebulosa,Korscheltellus fusconebulosa,"(De Geer, 1778)",14,26,N
46,Species,Hepialidae,Phymatopus hecta,Phymatopus hecta,Phymatopus hecta,"(Linnaeus, 1758)",12,16,N
49,Subspecies,Hepialidae,Hepialus humuli humuli,Hepialus humuli,Hepialus humuli,"(Linnaeus, 1758)",21,35,N
51,Subspecies,Hepialidae,Hepialus humuli thulensis,Hepialus humuli,Hepialus humuli,"Newman, 1865",21,35,N
2943,Species,Cossidae,Cossus cossus,Cossus cossus,Cossus cossus,"(Linnaeus, 1758)",32,42,N
2948,Species,Cossidae,Zeuzera pyrina,Zeuzera pyrina,Zeuzera pyrina,"(Linnaeus, 1761)",22,35,N
2952,Species,Cossidae,Phragmataecia castaneae,Phragmataecia castaneae,Phragmataecia castaneae,"(Hübner, 1790)",15,23,N
2958,Species,Sesiidae,Pennisetia hylaeiformis,Pennisetia hylaeiformis,Pennisetia hylaeiformis,"(Laspeyres, 1801)",11,13,N
2962,Species,Sesiidae,Sesia apiformis,Sesia apiformis,Sesia apiformis,"(Clerck, 1759)",17,21,N
2964,Species,Sesiidae,Sesia bembeciformis,Sesia bembeciformis,Sesia bembeciformis,"(Hübner, [1806])",15,19,N
2968,Species,Sesiidae,Paranthrene tabaniformis,Paranthrene tabaniformis,Paranthrene tabaniformis,"(Rottemburg, 1775)",13,14,N
2971,Species,Sesiidae,Synanthedon scoliaeformis,Synanthedon scoliaeformis,Synanthedon scoliaeformis,"(Borkhausen, 1789)",12,15,N
2973,Species,Sesiidae,Synanthedon spheciformis,Synanthedon spheciformis,Synanthedon spheciformis,"([Denis & Schiffermüller], 1775)",12,14,N
2975,Species,Sesiidae,Synanthedon culiciformis,Synanthedon culiciformis,Synanthedon culiciformis,"(Linnaeus, 1758)",12,14,N
2977,Species,Sesiidae,Synanthedon formicaeformis,Synanthedon formicaeformis,Synanthedon formicaeformis,"(Esper, 1782)",9,11,N
2979,Species,Sesiidae,Synanthedon flaviventris,Synanthedon flaviventris,Synanthedon flaviventris,"(Staudinger, 1883)",8,9,N
2981,Species,Sesiidae,Synanthedon andrenaeformis,Synanthedon andrenaeformis,Synanthedon andrenaeformis,"(Laspeyres, 1801)",9,11,N
2984,Species,Sesiidae,Synanthedon myopaeformis,Synanthedon myopaeformis,Synanthedon myopaeformis,"(Borkhausen, 1789)",9,11,N
2986,Species,Sesiidae,Synanthedon vespiformis,Synanthedon vespiformis,Synanthedon vespiformis,"(Linnaeus, 1761)",10,12,N
2988,Species,Sesiidae,Synanthedon tipuliformis,Synanthedon tipuliformis,Synanthedon tipuliformis,"(Clerck, 1759)",8,10,N
2992,Species,Sesiidae,Bembecia ichneumoniformis,Bembecia ichneumoniformis,Bembecia ichneumoniformis,"([Denis & Schiffermüller], 1775)",9,12,N
2996,Species,Sesiidae,Pyropteron chrysidiformis,Pyropteron chrysidiformis,Pyropteron chrysidiformis,"(Esper, 1782)",9,12,N
2998,Species,Sesiidae,Pyropteron muscaeformis,Pyropteron muscaeformis,Pyropteron muscaeformis,"(Esper, 1783)",6,8,N
3003,Species,Limacodidae,Apoda limacodes,Apoda limacodes,Apoda limacodes,"(Hufnagel, 1766)",10,13,N
3009,Species,Limacodidae,Heterogenea asella,Heterogenea asella,Heterogenea asella,"([Denis & Schiffermüller], 1775)",5,11,N
3017,Species,Zygaenidae,Jordanita globulariae,Jordanita globulariae,Jordanita globulariae,"(Hübner, 1793)",10,15,N
3021,Subspecies,Zygaenidae,Adscita statices statices,Adscita statices,Adscita statices,"(Linnaeus, 1758)",11,15,N
3023,Subspecies,Zygaenidae,Adscita geryon geryon,Adscita geryon,Adscita geryon,"(Hübner, [1813])",9,12,N
3029,Subspecies,Zygaenidae,Zygaena purpuralis purpuralis,Zygaena purpuralis,Zygaena purpuralis,"(Brünnich, 1763)",14,16,N
3030,Subspecies,Zygaenidae,Zygaena purpuralis caledonensis,Zygaena purpuralis,Zygaena purpuralis,"Reiss, 1931",14,16,N
3032,Subspecies,Zygaenidae,Zygaena purpuralis segontii,Zygaena purpuralis,Zygaena purpuralis,"Tremewan, 1958",14,16,N
3033,Subspecies,Zygaenidae,Zygaena purpuralis sabulosa,Zygaena purpuralis,Zygaena purpuralis,"Tremewan, 1976",14,16,N
3035,Subspecies,Zygaenidae,Zygaena loti loti,Zygaena loti,Zygaena loti,"([Denis & Schiffermüller], 1775)",14,16,N
3037,Subspecies,Zygaenidae,Zygaena loti scotica,Zygaena loti,Zygaena loti,"(Rowland-Brown, 1919)",14,16,N
3039,Subspecies,Zygaenidae,Zygaena exulans exulans,Zygaena exulans,Zygaena exulans,"(Hohenwarth, 1792)",10,16,N
3040,Subspecies,Zygaenidae,Zygaena exulans subochracea,Zygaena exulans,Zygaena exulans,"White, 1872",10,16,N
3042,Subspecies,Zygaenidae,Zygaena viciae viciae,Zygaena viciae,Zygaena viciae,"([Denis & Schiffermüller], 1775)",12,14,N
3044,Subspecies,Zygaenidae,Zygaena viciae ytenensis,Zygaena viciae,Zygaena viciae,"Briggs, 1888",12,14,N
3046,Subspecies,Zygaenidae,Zygaena viciae argyllensis,Zygaena viciae,Zygaena viciae,"Tremewan, 1967",12,14,N
3047,Subspecies,Zygaenidae,Zygaena filipendulae filipendulae,Zygaena filipendulae,Zygaena filipendulae,"(Linnaeus, 1758)",15,19,N
3048,Subspecies,Zygaenidae,Zygaena filipendulae stephensi,Zygaena filipendulae,Zygaena filipendulae,"Dupont, 1900",15,19,N
3050,Subspecies,Zygaenidae,Zygaena filipendulae pulcherrima,Zygaena filipendulae,Zygaena filipendulae,"Verity, 1921",15,19,N
3051,Subspecies,Zygaenidae,Zygaena lonicerae lonicerae,Zygaena lonicerae,Zygaena lonicerae,"(Scheven, 1777)",15,19,N
3053,Subspecies,Zygaenidae,Zygaena lonicerae latomarginata,Zygaena lonicerae,Zygaena lonicerae,"(Tutt, 1899)",15,19,N
3054,Subspecies,Zygaenidae,Zygaena lonicerae insularis,Zygaena lonicerae,Zygaena lonicerae,"Tremewan, 1960",15,19,N
3055,Subspecies,Zygaenidae,Zygaena lonicerae jocelynae,Zygaena lonicerae,Zygaena lonicerae,"Tremewan, 1962",15,19,N
3056,Subspecies,Zygaenidae,Zygaena trifolii trifolii,Zygaena trifolii,Zygaena trifolii,"(Esper, 1783)",14,19,N
3058,Subspecies,Zygaenidae,Zygaena trifolii decreta,Zygaena trifolii,Zygaena trifolii,"Verity, 1925",14,19,N
3059,Subspecies,Zygaenidae,Zygaena trifolii palustrella,Zygaena trifolii,Zygaena trifolii,"Verity, 1925",14,19,N
3060,Subspecies,Zygaenidae,Zygaena trifolii subsyracusia,Zygaena trifolii,Zygaena trifolii,"Verity, 1925",14,19,N
3425,Species,Pyralidae,Aphomia sociella,Aphomia sociella,Aphomia sociella,"(Linnaeus, 1758)",12,17,N
3428,Species,Pyralidae,Aphomia zelleri,Aphomia zelleri,Aphomia zelleri,"(Joannis, 1932)",9,17,N
3439,Species,Pyralidae,Achroia grisella,Achroia grisella,Achroia grisella,"(Fabricius, 1794)",7,11,N
3442,Species,Pyralidae,Galleria mellonella,Galleria mellonella,Galleria mellonella,"(Linnaeus, 1758)",14,19,N
3447,Species,Pyralidae,Cryptoblabes bistriga,Cryptoblabes bistriga,Cryptoblabes bistriga,"(Haworth, 1811)",8,9,N
3450,Species,Pyralidae,Salebriopsis albicilla,Salebriopsis albicilla,Salebriopsis albicilla,"(Herrich-Schäffer, 1849)",8,10,N
3453,Species,Pyralidae,Elegia similella,Elegia similella,Elegia similella,"(Zincken, 1818)",9,10,N
3455,Species,Pyralidae,Ortholepis betulae,Ortholepis betulae,Ortholepis betulae,"(Goeze, 1778)",9,13,N
3457,Species,Pyralidae,Matilella fusca,Matilella fusca,Matilella fusca,"(Haworth, 1811)",11,13,N
3459,Species,Pyralidae,Moitrelia obductella,Moitrelia obductella,Moitrelia obductella,"(Zeller, 1839)",10,12,N
3461,Species,Pyralidae,Pempeliella ornatella,Pempeliella ornatella,Pempeliella ornatella,"([Denis & Schiffermüller], 1775)",11,13,N
3464,Species,Pyralidae,Delplanqueia dilutella,Delplanqueia dilutella,Delplanqueia dilutella,"([Denis & Schiffermüller], 1775)",8,11,N
3466,Species,Pyralidae,Sciota hostilis,Sciota hostilis,Sciota hostilis,"(Stephens, 1834)",10,12,N
3467,Species,Pyralidae,Sciota adelphella,Sciota adelphella,Sciota adelphella,"(Fischer von Röslerstamm, 1836)",10,12,N
3470,Species,Pyralidae,Pima boisduvaliella,Pima boisduvaliella,Pima boisduvaliella,"(Guenée, 1845)",10,12,N
3475,Species,Pyralidae,Oncocera semirubella,Oncocera semirubella,Oncocera semirubella,"(Scopoli, 1763)",11,14,N
3479,Species,Pyralidae,Pempelia palumbella,Pempelia palumbella,Pempelia palumbella,"([Denis & Schiffermüller], 1775)",11,13,N
3481,Species,Pyralidae,Rhodophaea formosa,Rhodophaea formosa,Rhodophaea formosa,"(Haworth, 1811)",9,11,N
3483,Species,Pyralidae,Dioryctria sylvestrella,Dioryctria sylvestrella,Dioryctria sylvestrella,"(Ratzeburg, 1840)",13,17,N
3485,Species,Pyralidae,Dioryctria schuetzeella,Dioryctria schuetzeella,Dioryctria schuetzeella,"Fuchs, 1899",10,13,N
3486,Species,Pyralidae,Dioryctria simplicella,Dioryctria simplicella,Dioryctria simplicella,"Heinemann, 1863",11,14,N
3488,Species,Pyralidae,Dioryctria abietella,Dioryctria abietella,Dioryctria abietella,"([Denis & Schiffermüller], 1775)",12,15,N
3490,Species,Pyralidae,Phycita roborella,Phycita roborella,Phycita roborella,"([Denis & Schiffermüller], 1775)",11,14,N
3493,Species,Pyralidae,Hypochalcia ahenella,Hypochalcia ahenella,Hypochalcia ahenella,"([Denis & Schiffermüller], 1775)",9,14,N
3495,Species,Pyralidae,Epischnia asteris,Epischnia asteris,Epischnia asteris,"Staudinger, 1870",11,14,N
3498,Species,Pyralidae,Nephopterix angustella,Nephopterix angustella,Nephopterix angustella,"(Hübner, 1796)",9,11,N
3503,Species,Pyralidae,Acrobasis repandana,Acrobasis repandana,Acrobasis repandana,"(Fabricius, 1798)",9,11,N
3506,Species,Pyralidae,Acrobasis advenella,Acrobasis advenella,Acrobasis advenella,"(Zincken, 1818)",9,10,N
3507,Species,Pyralidae,Acrobasis suavella,Acrobasis suavella,Acrobasis suavella,"(Zincken, 1818)",10,12,N
3508,Species,Pyralidae,Acrobasis marmorea,Acrobasis marmorea,Acrobasis marmorea,"(Haworth, 1811)",8,10,N
3509,Species,Pyralidae,Acrobasis consociella,Acrobasis consociella,Acrobasis consociella,"(Hübner, [1813])",9,11,N
3511,Species,Pyralidae,Apomyelois bistriatella,Apomyelois bistriatella,Apomyelois bistriatella,"(Hulst, 1887)",7,12,N
3520,Species,Pyralidae,Myelois circumvoluta,Myelois circumvoluta,Myelois circumvoluta,"(Fourcroy, 1785)",13,17,N
3524,Species,Pyralidae,Gymnancyla canella,Gymnancyla canella,Gymnancyla canella,"([Denis & Schiffermüller], 1775)",10,12,N
3533,Species,Pyralidae,Assara terebrella,Assara terebrella,Assara terebrella,"(Zincken, 1818)",8,12,N
3535,Species,Pyralidae,Euzophera pinguis,Euzophera pinguis,Euzophera pinguis,"(Haworth, 1811)",11,13,N
3537,Species,Pyralidae,Euzophera cinerosella,Euzophera cinerosella,Euzophera cinerosella,"(Zeller, 1839)",9,12,N
3540,Species,Pyralidae,Nyctegretis lineana,Nyctegretis lineana,Nyctegretis lineana,"(Scopoli, 1786)",8,9,N
3546,Species,Pyralidae,Ancylosis oblitella,Ancylosis oblitella,Ancylosis oblitella,"(Zeller, 1848)",7,10,N
3548,Species,Pyralidae,Homoeosoma sinuella,Homoeosoma sinuella,Homoeosoma sinuella,"(Fabricius, 1794)",8,11,N
3549,Species,Pyralidae,Homoeosoma nebulella,Homoeosoma nebulella,Homoeosoma nebulella,"([Denis & Schiffermüller], 1775)",9,13,N
3550,Species,Pyralidae,Homoeosoma nimbella,Homoeosoma nimbella,Homoeosoma nimbella,"(Duponchel, 1837)",8,11,N
3552,Species,Pyralidae,Phycitodes maritima,Phycitodes maritima,Phycitodes maritima,"(Tengström, 1848)",8,10,N
3555,Species,Pyralidae,Phycitodes binaevella,Phycitodes binaevella,Phycitodes binaevella,"(Hübner, [1813])",10,13,N
3556,Species,Pyralidae,Phycitodes saxicola,Phycitodes saxicola,Phycitodes saxicola,"(Vaughan, 1870)",7,10,N
3559,Species,Pyralidae,Vitula biviella,Vitula biviella,Vitula biviella,"(Zeller, 1848)",6,9,N
3561,Species,Pyralidae,Plodia interpunctella,Plodia interpunctella,Plodia interpunctella,"(Hübner, [1813])",7,10,N
3564,Species,Pyralidae,Ephestia kuehniella,Ephestia kuehniella,Ephestia kuehniella,"Zeller, 1879",8,13,N
3566,Species,Pyralidae,Ephestia elutella,Ephestia elutella,Ephestia elutella,"(Hübner, 1796)",6,10,N
3569,Species,Pyralidae,Ephestia unicolorella,Ephestia unicolorella,Ephestia unicolorella,"Staudinger, 1881",6,10,N
3573,Species,Pyralidae,Cadra figulilella,Cadra figulilella,Cadra figulilella,"(Gregson, 1871)",6,10,N
3576,Species,Pyralidae,Cadra cautella,Cadra cautella,Cadra cautella,"(Walker, 1863)",6,10,N
3580,Species,Pyralidae,Cadra calidella,Cadra calidella,Cadra calidella,"(Guenée, 1845)",6,10,N
3585,Species,Pyralidae,Anerastia lotella,Anerastia lotella,Anerastia lotella,"(Hübner, [1813])",9,12,N
3589,Species,Pyralidae,Synaphe punctalis,Synaphe punctalis,Synaphe punctalis,"(Fabricius, 1775)",10,13,N
3593,Species,Pyralidae,Pyralis farinalis,Pyralis farinalis,Pyralis farinalis,"(Linnaeus, 1758)",11,14,N
3599,Species,Pyralidae,Aglossa pinguinalis,Aglossa pinguinalis,Aglossa pinguinalis,"(Linnaeus, 1758)",12,18,N
3603,Species,Pyralidae,Hypsopygia costalis,Hypsopygia costalis,Hypsopygia costalis,"(Fabricius, 1775)",8,10,N
3606,Species,Pyralidae,Hypsopygia glaucinalis,Hypsopygia glaucinalis,Hypsopygia glaucinalis,"(Linnaeus, 1758)",10,14,N
3609,Species,Pyralidae,Endotricha flammealis,Endotricha flammealis,Endotricha flammealis,"([Denis & Schiffermüller], 1775)",8,10,N
3617,Species,Crambidae,Pyrausta cingulata,Pyrausta cingulata,Pyrausta cingulata,"(Linnaeus, 1758)",7,8,N
3618,Species,Crambidae,Pyrausta sanguinalis,Pyrausta sanguinalis,Pyrausta sanguinalis,"(Linnaeus, 1767)",7,9,N
3619,Species,Crambidae,Pyrausta despicata,Pyrausta despicata,Pyrausta despicata,"(Scopoli, 1763)",7,9,N
3621,Species,Crambidae,Pyrausta aurata,Pyrausta aurata,Pyrausta aurata,"(Scopoli, 1763)",7,9,N
3623,Species,Crambidae,Pyrausta purpuralis,Pyrausta purpuralis,Pyrausta purpuralis,"(Linnaeus, 1758)",7,11,N
3624,Species,Crambidae,Pyrausta ostrinalis,Pyrausta ostrinalis,Pyrausta ostrinalis,"(Hübner, 1796)",7,10,N
3625,Species,Crambidae,Pyrausta nigrata,Pyrausta nigrata,Pyrausta nigrata,"(Scopoli, 1763)",7,8,N
3634,Species,Crambidae,Nascia cilialis,Nascia cilialis,Nascia cilialis,"(Hübner, 1796)",11,13,N
3636,Species,Crambidae,Sitochroa palealis,Sitochroa palealis,Sitochroa palealis,"([Denis & Schiffermüller], 1775)",13,16,N
3637,Species,Crambidae,Sitochroa verticalis,Sitochroa verticalis,Sitochroa verticalis,"(Linnaeus, 1758)",12,15,N
3639,Species,Crambidae,Anania fuscalis,Anania fuscalis,Anania fuscalis,"([Denis & Schiffermüller], 1775)",10,13,N
3640,Species,Crambidae,Anania lancealis,Anania lancealis,Anania lancealis,"([Denis & Schiffermüller], 1775)",13,16,N
3641,Species,Crambidae,Anania coronata,Anania coronata,Anania coronata,"(Hufnagel, 1767)",11,13,N
3643,Species,Crambidae,Anania stachydalis,Anania stachydalis,Anania stachydalis,"(Zincken, 1821)",11,12,N
3644,Species,Crambidae,Anania perlucidalis,Anania perlucidalis,Anania perlucidalis,"(Hübner, [1809])",10,12,N
3645,Species,Crambidae,Anania terrealis,Anania terrealis,Anania terrealis,"(Treitschke, 1829)",12,13,N
3646,Species,Crambidae,Anania crocealis,Anania crocealis,Anania crocealis,"(Hübner, 1796)",11,12,N
3647,Species,Crambidae,Anania verbascalis,Anania verbascalis,Anania verbascalis,"([Denis & Schiffermüller], 1775)",11,13,N
3648,Species,Crambidae,Anania funebris,Anania funebris,Anania funebris,"(Ström, 1768)",10,11,N
3650,Species,Crambidae,Anania hortulata,Anania hortulata,Anania hortulata,"(Linnaeus, 1758)",13,16,N
3658,Species,Crambidae,Ostrinia nubilalis,Ostrinia nubilalis,Ostrinia nubilalis,"(Hübner, 1796)",13,18,N
3661,Species,Crambidae,Paratalanta pandalis,Paratalanta pandalis,Paratalanta pandalis,"(Hübner, [1825])",12,14,N
3663,Species,Crambidae,Paratalanta hyalinalis,Paratalanta hyalinalis,Paratalanta hyalinalis,"(Hübner, 1796)",14,16,N
3666,Species,Crambidae,Udea ferrugalis,Udea ferrugalis,Udea ferrugalis,"(Hübner, 1796)",9,11,N
3669,Species,Crambidae,Udea fulvalis,Udea fulvalis,Udea fulvalis,"(Hübner, [1809])",10,14,N
3670,Species,Crambidae,Udea lutealis,Udea lutealis,Udea lutealis,"(Hübner, [1809])",11,12,N
3672,Species,Crambidae,Udea prunalis,Udea prunalis,Udea prunalis,"([Denis & Schiffermüller], 1775)",11,13,N
3674,Species,Crambidae,Udea uliginosalis,Udea uliginosalis,Udea uliginosalis,"(Stephens, 1834)",11,14,N
3675,Species,Crambidae,Udea decrepitalis,Udea decrepitalis,Udea decrepitalis,"(Herrich-Schäffer, 1848)",11,13,N
3676,Species,Crambidae,Udea olivalis,Udea olivalis,Udea olivalis,"([Denis & Schiffermüller], 1775)",12,13,N
3678,Species,Crambidae,Pleuroptya ruralis,Pleuroptya ruralis,Pleuroptya ruralis,"(Scopoli, 1763)",15,17,N
3681,Species,Crambidae,Mecyna flavalis,Mecyna flavalis,Mecyna flavalis,"([Denis & Schiffermüller], 1775)",11,14,N
3682,Species,Crambidae,Mecyna asinalis,Mecyna asinalis,Mecyna asinalis,"(Hübner, [1819])",11,15,N
3684,Species,Crambidae,Agrotera nemoralis,Agrotera nemoralis,Agrotera nemoralis,"(Scopoli, 1763)",9,11,N
3701,Species,Crambidae,Palpita vitrealis,Palpita vitrealis,Palpita vitrealis,"(Rossi, 1794)",13,15,N
3706,Species,Crambidae,Dolicharthria punctalis,Dolicharthria punctalis,Dolicharthria punctalis,"([Denis & Schiffermüller], 1775)",10,12,N
3710,Species,Crambidae,Nomophila noctuella,Nomophila noctuella,Nomophila noctuella,"([Denis & Schiffermüller], 1775)",12,15,N
3720,Species,Crambidae,Cynaeda dentalis,Cynaeda dentalis,Cynaeda dentalis,"([Denis & Schiffermüller], 1775)",10,14,N
